start,end,cost
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJtYl80VlSUkYRHsPJ77_LXm8,3.0773261699819476e-06
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJwTS011lSUkYROOaIBw6_t6k,3.300763049983502e-06
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJ7-bcfFdSUkYRAi_D5VAiANk,3.5054153099792424e-06
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJb-LjZFdSUkYR0IQcqxmpIDY,3.667201159983306e-06
ChIJsRh_oFlSUkYRkBBHQUeoKcI,ChIJBWUZb1dSUkYR0KDo40YbcFQ,3.88059365998031e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJDfnLZ1lSUkYRchF_if80LfE,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJsRh_oFlSUkYRkBBHQUeoKcI,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJ9cuitllSUkYRd6ZoiDSinIM,0
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJk2Y2M1hSUkYR8cXNNRfosIY,6.822064999961993e-07
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJCy4tOFhSUkYRBiS5iJUrGnY,2.9130289700142113e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJj1RhMlhSUkYRxwx00g4P0QE,1.576139540008027e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJuYkcKlhSUkYRFPCipW5rTvU,1.7421335400090522e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJP6TdhFdSUkYRdrsWKXZMAs8,2.298902680004998e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJf9Y9sFdSUkYRmaDEJhCweGc,4.448586170014938e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJozaGTFZSUkYRNtWl2AGUPkI,5.1235741800212795e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJozaGTFZSUkYRjY7TpiWcsro,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJOW51C1lSUkYRRv6n34W9-Zg,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJj5kfbFlSUkYRcDRZTsny7_c,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJpyBCaFlSUkYR3LHwM6zxRjU,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJL3cdF1dSUkYRrSCPkRNdtPE,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJgXdTbFdSUkYR33h2wlG_Zwk,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJ64wzbldSUkYR5FeQ9EKDTkU,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJ7feGfFdSUkYRmmsyva5Yh7g,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJRwYQ1llSUkYRMKaZjz2gpdg,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJmQYH01lSUkYRA5sfbpFn4ag,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJaU2CalhSUkYR16Poj9gzgIw,3.8730997000144466e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJt2H3cFhSUkYRAkkFfX87Bq8,5.946062750008991e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJRZDreVhSUkYRo3ujslhgkNQ,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJuRTCa1hSUkYRZctNq7Wpmys,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJCy4tOFhSUkYR0RImuvsSO1g,inf
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJtYl80VlSUkYRHsPJ77_LXm8,1.120739080001423e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJwTS011lSUkYROOaIBw6_t6k,1.3441759600029773e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJ7-bcfFdSUkYRAi_D5VAiANk,1.5488282199987176e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJb-LjZFdSUkYR0IQcqxmpIDY,1.7106140700027812e-06
ChIJ9cuitllSUkYRd6ZoiDSinIM,ChIJBWUZb1dSUkYR0KDo40YbcFQ,1.9240065699997853e-06
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJDfnLZ1lSUkYRchF_if80LfE,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJsRh_oFlSUkYRkBBHQUeoKcI,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJ9cuitllSUkYRd6ZoiDSinIM,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJk2Y2M1hSUkYR8cXNNRfosIY,0
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJCy4tOFhSUkYRBiS5iJUrGnY,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJj1RhMlhSUkYRxwx00g4P0QE,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJuYkcKlhSUkYRFPCipW5rTvU,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJP6TdhFdSUkYRdrsWKXZMAs8,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJf9Y9sFdSUkYRmaDEJhCweGc,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJozaGTFZSUkYRNtWl2AGUPkI,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJozaGTFZSUkYRjY7TpiWcsro,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
